#id	name	fed	sex	birthyear	max_rating	month
1407589	Aabling-Thomsen, Jakob	DEN	M	1985	2403	2016-12
1401815	Aagaard, Jacob	DEN	M	1973	2525	2015-02
45048975	Aaryan Varshney	IND	M	2005	2500	2025-11
22217975	Abal Cores, Lucas	ESP	M	1997	2373	2015-05
3409422	Abarca Gonzalez, Nicolas	CHI	M	1993	2436	2017-01
13402960	Abasov, Nijat	AZE	M	1995	2679	2023-10
423831	Abbas, Daniel	ENG	M	1999	2329	2017-06
2111080	Abdalla, Luiz Guilherme Aurelli	BRA	M	1991	2277	2015-11
10600965	Abdel Fadil, Mohamed	EGY	M	1964	2287	2016-06
10605924	Abdel Moniem, Mohamed	EGY	M	1981	2238	2017-06
10601104	Abdel Razik, Khaled	EGY	M	1975	2433	2015-06
10600957	Abdel Samee, Mohamed	EGY	M	1970	2231	2015-09
14402394	Abdil, Halil	BIH	M	1974	2211	2015-02
13716417	Abdilkhair, Abilmansur	KAZ	M	2003	2410	2025-04
14206323	Abdisalimov, Abdimalik	UZB	M	2002	2553	2025-11
13401807	Abdulla, Khayala	AZE	F	1993	2320	2015-09
2403757	Abdulla, Murad	SCO	M	2000	2332	2024-01
13402714	Abdulov, Orkhan	AZE	M	1988	2414	2018-06
13703544	Abdumalik, Zhansaya	KAZ	F	2000	2507	2021-10
701424	Abel, Lajos	HUN	M	1944	2234	2016-05
5200970	Abelgas, Roel	PHI	M	1980	2353	2015-07
614890	Abergel, Thal	FRA	M	1982	2478	2020-01
4639120	Abhau, Jochen	GER	M	1978	2265	2015-03
5024668	Abhilash, Reddy M.L.	IND	M	1996	2258	2019-05
5013348	Abhishek, Das	IND	M	1987	2325	2017-09
5019257	Abhishek, Kelkar	IND	M	1992	2403	2017-06
10600078	Abou El Zein, Eid Mahmoud	EGY	M	1952	2220	2017-05
4626435	Abraham, Ingo, Dr.	GER	M	1964	2225	2020-04
13301918	Abrahamyan, Tatev	USA	F	1988	2407	2025-10
900206	Abramovic, Bosko	SRB	M	1951	2464	2015-04
2139227	Abrantes, Tiago Garrido	BRA	M	1977	2201	2022-08
10200916	Abu Sufian, Shakil	BAN	M	1980	2352	2015-02
2260697	Accattato Martin, Mario	ESP	M	1989	2256	2021-07
12956465	Acikel, Mert	GER	M	2001	2253	2023-12
4605918	Ackermann, Hans Werner	GER	M	1952	2367	2017-01
2024861	Acor, Corey	USA	M	1989	2326	2022-02
3906337	Acosta Villarroel, Lorner Jesus	VEN	M	1994	2250	2016-06
124311	Acosta, Pablo Ismael	ARG	M	1999	2506	2025-10
708020	Acs, Peter	HUN	M	1981	2599	2015-05
727709	Aczel, Gergely	HUN	M	1991	2573	2017-11
406252	Adair, James R	ENG	M	1992	2492	2018-07
638145	Adam, Etienne	FRA	M	1988	2212	2015-05
410730	Adams, David M	ENG	M	1948	2222	2018-06
1100190	Adamski, Jan	POL	M	1943	2293	2015-05
2009730	Adamson, Robby	USA	M	1970	2277	2015-02
2292726	Adan Bermudez, Sergio	ESP	M	1992	2402	2015-06
35061984	Adarsh Tripathi	IND	M	2005	2369	2024-09
2207494	Adell Corts, Francisco	ESP	M	1972	2200	2015-04
35042025	Aditya Mittal	IND	M	2006	2624	2025-10
100072	Adla, Diego	ARG	M	1968	2462	2015-02
1702149	Adler, Bo	SWE	M	1955	2221	2015-03
1019716	Admiraal, Miguoel	NED	M	1994	2516	2019-04
1502433	Adnoy, Hallvard V.	NOR	M	1978	2303	2024-03
703508	Adok, Janos	HUN	M	1955	2255	2017-03
26052938	Adrian, Leopold	FRA	M	2004	2221	2025-01
1308220	Aeschbach, Philipp	SUI	M	1992	2328	2017-07
2800462	Afek, Yochanan	ISR	M	1952	2281	2017-05
24173606	Golubova, Anna	RUS	F	2001	2370	2019-07
733466	Ag, Norbert Dr.	HUN	M	1987	2340	2016-05
1708830	Agrest, Inna	SWE	F	1991	2320	2019-05
1017349	Agter, Frank	NED	M	1979	2245	2024-02
132675	Aguero Arce, Matias	ARG	M	2001	2216	2018-01
1908545	Aguiar, Henrique Rui Neves	POR	M	1998	2201	2015-10
3303187	Aguilar, Luis Miguel	BOL	M	1999	2301	2016-09
3512991	Aguilera Rodriguez, Alfredo R.	CUB	M	1993	2413	2017-04
3412776	Aguirre Contreras, Cristian	CHI	M	1996	2314	2018-11
2800683	Aharon, Ofir	ISR	M	1990	2355	2015-06
2814501	Aharonovich, Itamar	ISR	M	1998	2343	2024-02
1700251	Ahlander, Bjorn	SWE	M	1963	2442	2017-11
437085	Ahluwalia, Amardip	ENG	M	2003	2250	2019-05
8103178	Ahmad, Al Khatib	JOR	M	1995	2382	2023-09
10624562	Ahmed, Ahmed Alaa	EGY	M	1998	2297	2024-05
4604652	Ahmels, Volker	GER	M	1961	2228	2015-10
13201492	Ahn, Hongjin	KOR	M	1999	2314	2025-11
200972	Ahn, Martin	BEL	M	1972	2257	2016-04
4177916	Airapetian, Gor	RUS	M	1990	2467	2020-03
25037714	Aishwin Daniel	IND	M	1999	2236	2024-09
24175137	Aivazian, Grigory	RUS	M	2000	2338	2020-03
6600522	Aizpurua, Patrick Emilio	PAN	M	1994	2348	2020-01
35011685	Ajay Karthikeyan	IND	M	2004	2454	2023-02
5096430	Ajay Krishna, S	IND	M	1999	2401	2021-11
4131045	Akbaev, Kazbek	RUS	M	1981	2504	2015-02
12513121	Akbari Gelvardi, Mohammad	IRI	M	1995	2311	2019-03
12501468	Akbarinia, Sayed Arash	IRI	M	1986	2413	2015-05
1305506	Akermann, Thomas	SUI	M	1974	2202	2020-02
1700120	Akesson, Ralf	SWE	M	1961	2460	2017-05
204439	Akhayan, Ruben	BEL	M	1985	2265	2025-05
13714287	Akhmedinov, Satbek	KAZ	M	2006	2392	2025-05
4180780	Akhromeev, Igor	RUS	M	1960	2284	2015-02
24175153	Akmalov, Daniil	RUS	M	2000	2288	2017-06
13300580	Akobian, Varuzhan	USA	M	1983	2673	2017-06
724521	Akots, Gabor	HUN	M	1985	2286	2016-04
5012414	Akshayraj, Kore	IND	M	1988	2482	2017-12
25097431	Akshit Kumar J	IND	M	2003	2229	2023-09
13800353	Akylbekov, Nasyr	KGZ	M	1984	2270	2016-08
7600127	Argha, Hicham	FIN	M	1960	2312	2015-02
9308733	Al Hosani, Omran	UAE	M	2002	2316	2025-06
9400273	Al-Hadarani, Hatim	YEM	M	1959	2334	2018-04
10300163	Al-Hajiri, Bader	KUW	M	1968	2238	2015-08
3408132	Alarcon Bahamondez, Roberto Ignacio	CHI	M	1988	2335	2017-06
12500607	Alavi, Sayed Javad	IRI	M	1987	2469	2018-01
6326005	Alaz, Ahmet Efekan	TUR	M	1997	2320	2019-06
10602348	Albadri Sattar	IRQ	M	1966	2212	2015-12
20663684	Albaric, Etienne	FRA	M	1999	2261	2021-09
4602013	Alber, Horst	GER	M	1963	2323	2015-05
847038	Albertini, Luca	ITA	M	1992	2222	2016-05
2124807	Alboredo, Julia	BRA	F	1997	2290	2022-08
12933430	Albrecht, Juergen	GER	M	1957	2202	2015-02
2151480	Albuquerque Junior,Wellington S.	BRA	M	1982	2219	2024-03
3500268	Aldama Degurnay, Dionisio	MEX	M	1969	2463	2018-06
13500139	Aleksandrov, Aleksej	BLR	M	1973	2630	2018-03
24176621	Aleksandrov, Zakhar	RUS	M	2001	2407	2016-03
4135539	Alekseenko, Kirill	AUT	M	1997	2715	2019-11
4138147	Alekseev, Evgeny	ISR	M	1985	2677	2015-02
931098	Aleksic, Neven	SRB	M	1985	2221	2021-05
13401262	Aleskerov, Faik	AZE	M	1985	2315	2015-10
4200527	Alexakis, Dimitrios	GRE	M	1961	2200	2015-04
4277023	Alexakis, Dimitris	GRE	M	2003	2548	2025-10
4255038	Alexakis, Georgios	GRE	M	2001	2263	2020-02
4249623	Alexiadis, Hristos	GRE	M	2000	2371	2021-08
14103958	Alexikov, Alexander	UKR	M	1963	2352	2015-02
4200675	Alexopoulos, Georgios	GRE	M	1961	2254	2015-02
32090668	Alfaro Garcia del Cerro, Juan L	ESP	M	1997	2272	2025-08
6100457	Alfaro, William	NCA	M	1982	2229	2016-06
8100977	Ali, Sebbar	MAR	M	1980	2404	2022-11
3802191	Aliaga Fernandez, Ingrid Y	PER	F	1991	2208	2018-03
13401858	Aliakbarov, Anar	TUR	M	1993	2376	2017-06
4156765	Alienkin, Aleksander	BEL	M	1963	2399	2017-11
14111977	Aliferenko, Aleksei	UKR	M	1969	2327	2018-01
209384	Allaert, Dimitri	BEL	M	1988	2264	2018-11
408042	Allicock, Rawle A	ENG	M	1970	2248	2019-04
2221640	Almagro Mazariegos, Sebastian	ESP	M	1973	2345	2015-02
701742	Almasi, Istvan	HUN	M	1973	2436	2015-12
3100197	Almedina Ortiz, Edgardo J.	PUR	M	1988	2255	2018-11
3701166	Almiron, Antonio	PAR	M	1991	2402	2019-04
25072765	Alok Sinha	IND	M	2004	2271	2019-02
24521060	Alonso Garcia, Aaron	ESP	M	2003	2462	2025-04
105198	Alonso, Salvador	ARG	M	1974	2519	2018-03
2225166	Alshameary Puente, Ismael	ESP	M	1992	2444	2019-08
2252627	Alsina Leal, Daniel	ESP	M	1988	2542	2015-05
2801906	Alterman, Boris	ISR	M	1970	2614	2016-04
833924	Altini, Nicola	ITA	M	1995	2426	2018-10
3600351	Alvarez Leon, Luis	ECU	M	1972	2260	2015-02
22238689	Alvarez Serrano, Carlos	ESP	M	1996	2256	2019-05
14400367	Alvir, Aco	AUT	M	1961	2377	2017-11
1607871	Amann, Guenter	AUT	M	1968	2355	2015-02
4166299	Ambartsumova, Karina	RUS	F	1989	2418	2023-09
5500419	Amdouni, Zoubaier	TUN	M	1987	2357	2015-04
10600418	Amin, Ashraf	EGY	M	1964	2300	2016-07
12501573	Aminikiasari, Amer	IRI	M	1981	2320	2017-12
14132494	Amirov, Viktor	UKR	M	1994	2254	2015-02
9312331	Ammar, Sedrani	UAE	M	2004	2274	2020-02
6101623	Ampie, Mauro	NCA	M	1997	2373	2016-06
715689	Amrein, Roland	HUN	M	1973	2309	2015-11
100536	Amura, Claudia	ARG	F	1970	2283	2015-10
4251067	Anagnostopoulos, Konstantinos	GRE	M	1995	2367	2021-09
357790	Anaskin, Arsenij	CZE	M	2000	2244	2022-11
10215026	Anata, Choudhury	BAN	M	2000	2229	2024-08
1503120	Andersen, Alf Roger	NOR	M	1971	2269	2019-02
1400665	Andersen, Dan	DEN	M	1956	2311	2016-12
1402650	Andersen, Jackie	DEN	M	1976	2418	2019-12
1401106	Andersen, Jan Ivan	DEN	M	1958	2225	2023-01
1502417	Andersen, Lars Even	NOR	M	1972	2314	2019-04
1404792	Andersen, Lars Rene	DEN	M	1974	2213	2015-05
1413864	Andersen, Mads	DEN	M	1995	2618	2023-12
1504908	Andersen, Morten	DEN	M	1960	2234	2019-02
405353	Anderson, John	ENG	M	1957	2247	2015-05
1708309	Andersson, Goran L. 1956	SWE	M	1956	2282	2019-12
2101521	Andrade, Roberto Luiz Costa	BRA	M	1959	2206	2015-02
4655354	Andre, Gordon	GER	M	1979	2386	2019-11
4607260	Andre, Wolfgang	GER	M	1953	2223	2015-03
7200110	Andreasen, Joan Hendrik	FAI	M	1970	2239	2016-05
1400886	Andreasen, Per Naesby	DEN	M	1955	2325	2017-03
4148720	Andreev, Afrikan	RUS	M	1958	2239	2016-02
14103400	Andreev, Eduard	UKR	M	1980	2468	2016-03
14118270	Andrenko, Irina	UKR	F	1991	2248	2015-08
820644	Andreoni, Giuseppe Stefano	ITA	M	1988	2255	2018-10
13302000	Andriasian, Zaven	ARM	M	1989	2624	2016-09
4303636	Ang, Alphaeus Wei Ern	NZL	M	2002	2407	2025-07
826367	Angelini, Marco	ITA	M	1991	2252	2019-07
1703668	Angskog, Kent	SWE	M	1963	2228	2015-06
9000291	Anibar, Ahmed	MAR	M	1976	2290	2023-05
13700405	Anistratov, Dmitriy	KAZ	M	1974	2313	2015-02
402141	Ansell, Simon T	ENG	M	1975	2373	2015-02
717312	Antal, Gergely	HUN	M	1985	2587	2024-04
738581	Antal, Tibor Kende	HUN	M	1998	2424	2019-08
1308106	Antognini, Francesco	SUI	M	1985	2287	2016-11
1159569	Antolak, Julia	POL	F	2000	2399	2022-06
