#id	month	rating	games
1407589	2015-02	2327	3
1401815	2015-02	2525	1
45048975	2015-02	1282	2
22217975	2015-02	2193	9
3409422	2015-02	2332	25
13402960	2015-02	2523	9
423831	2015-02	2146	8
2111080	2015-02	2272	7
10600965	2015-02	2224	6
10605924	2015-02	2171	8
10601104	2015-02	2430	9
10600957	2015-02	2231	9
14402394	2015-02	2211	9
13716417	2015-02	1887	5
14206323	2015-02	2012	4
13401807	2015-02	2255	9
2403757	2015-02	2003	1
13402714	2015-02	2337	9
13703544	2015-02	2379	9
701424	2015-02	2231	1
5200970	2015-02	2319	20
614890	2015-02	2414	9
4639120	2015-02	2262	2
5024668	2015-02	2236	19
5013348	2015-02	2225	9
5019257	2015-02	2343	20
10600078	2015-02	2191	8
4626435	2015-02	2192	1
13301918	2015-02	2322	2
900206	2015-02	2464	7
2139227	2015-02	2166	10
10200916	2015-02	2352	7
2260697	2015-02	2248	9
12956465	2015-02	1874	8
4605918	2015-02	2266	8
2024861	2015-02	2267	4
3906337	2015-02	2192	7
124311	2015-02	2304	12
708020	2015-02	2591	2
727709	2015-02	2470	2
406252	2015-02	2429	2
638145	2015-02	2186	1
410730	2015-02	2215	2
1100190	2015-02	2287	1
2009730	2015-02	2277	7
2292726	2015-02	2360	2
35061984	2015-02	1780	36
2207494	2015-02	2164	11
35042025	2015-02	1750	9
100072	2015-02	2462	9
1702149	2015-02	2213	10
1019716	2015-02	2388	10
1502433	2015-02	2245	2
703508	2015-02	2241	1
26052938	2015-02	1481	4
1308220	2015-02	2092	7
2800462	2015-02	2278	9
24173606	2015-02	2036	9
733466	2015-02	2325	2
1708830	2015-02	2174	7
1017349	2015-02	2163	9
132675	2015-02	2035	7
1908545	2015-02	2172	8
3303187	2015-02	2048	15
3512991	2015-02	2331	12
3412776	2015-02	2062	39
2800683	2015-02	2311	12
2814501	2015-02	2279	1
1700251	2015-02	2389	9
437085	2015-02	1689	2
8103178	2015-02	2170	8
10624562	2015-02	2068	6
4604652	2015-02	2212	1
13201492	2015-02	2015	6
200972	2015-02	2214	1
4177916	2015-02	2449	9
25037714	2015-02	1907	9
24175137	2015-02	2211	9
6600522	2015-02	2176	4
35011685	2015-02	1715	9
5096430	2015-02	2229	19
4131045	2015-02	2504	9
12513121	2015-02	2050	8
12501468	2015-02	2381	9
1305506	2015-02	2173	1
1700120	2015-02	2451	9
204439	2015-02	2240	2
13714287	2015-02	1815	7
4180780	2015-02	2284	9
24175153	2015-02	2115	6
13300580	2015-02	2612	9
724521	2015-02	2242	9
5012414	2015-02	2472	4
25097431	2015-02	1654	10
13800353	2015-02	2228	9
7600127	2015-02	2312	22
9308733	2015-02	1778	9
9400273	2015-02	2264	6
10300163	2015-02	2117	9
