#id	month	rating	games
36045411	2015-02	1049	5
26075954	2015-02	1353	9
36083372	2015-02	1161	2
36016691	2015-02	1143	2
36035882	2015-02	1042	7
36044644	2015-02	1095	1
36022101	2015-02	1085	2
36054038	2015-02	1263	10
36034665	2015-02	1140	2
36033995	2015-02	1200	5
36000310	2015-02	1358	4
36073938	2015-02	1052	1
36083364	2015-03	1010	12
26075954	2015-03	1386	1
36022365	2015-03	1113	6
36083372	2015-03	1147	1
36051217	2015-03	1038	11
36044644	2015-03	1129	1
36054038	2015-03	1261	2
36034665	2015-03	1176	3
36033995	2015-03	1187	3
36042080	2015-03	1040	9
36000310	2015-03	1389	2
36016950	2015-03	1198	1
36045411	2015-04	1036	3
36076104	2015-04	1165	6
26075954	2015-04	1412	4
36022365	2015-04	1167	8
36083372	2015-04	1190	10
36016691	2015-04	1178	2
36022101	2015-04	1091	9
36054038	2015-04	1295	6
36044458	2015-04	1027	5
36034665	2015-04	1131	2
36037370	2015-04	1221	6
36044474	2015-04	1220	6
36000310	2015-04	1391	7
36053627	2015-04	1050	5
36073938	2015-04	1062	2
36045411	2015-05	1048	1
36083364	2015-05	1010	12
26075954	2015-05	1444	2
36037354	2015-05	1178	10
36022365	2015-05	1192	1
36083372	2015-05	1214	1
36051217	2015-05	1085	7
36035882	2015-05	1111	4
36044644	2015-05	1166	1
36054038	2015-05	1320	6
36080900	2015-05	1102	5
36074918	2015-05	1208	9
36099783	2015-05	1338	6
36034665	2015-05	1109	1
36037370	2015-05	1170	4
36074284	2015-05	1080	5
36054054	2015-05	1102	6
36007340	2015-06	1016	8
36077151	2015-06	1132	7
26075954	2015-06	1499	10
26088240	2015-06	1151	1
36037354	2015-06	1174	2
36022365	2015-06	1233	10
45109583	2015-06	1235	7
36019640	2015-06	1190	9
36077178	2015-06	1140	4
36016691	2015-06	1176	2
36078522	2015-06	1057	8
36035882	2015-06	1096	4
36044644	2015-06	1296	8
36054038	2015-06	1366	8
36044458	2015-06	1010	2
36034665	2015-06	1076	2
36044474	2015-06	1196	1
36033995	2015-06	1229	10
36042080	2015-06	1032	1
36000310	2015-06	1375	3
36016950	2015-06	1155	3
36042099	2015-06	1038	8
36053627	2015-06	1035	1
36054054	2015-06	1093	1
36077151	2015-07	1106	3
36016691	2015-07	1212	5
36034665	2015-07	1060	1
36042080	2015-07	1026	2
36057290	2015-07	1446	8
36083364	2015-08	1021	5
26075954	2015-08	1485	6
26088240	2015-08	1125	2
36037354	2015-08	1219	5
45114994	2015-08	1188	7
36099112	2015-08	1043	6
36051756	2015-08	1188	10
45109583	2015-08	1227	2
36083372	2015-08	1279	7
36016691	2015-08	1300	12
36051217	2015-08	1119	7
36078522	2015-08	1040	2
36097926	2015-08	1245	5
36044644	2015-08	1239	6
36049590	2015-08	1229	12
36022101	2015-08	1131	5
36054038	2015-08	1360	16
36074918	2015-08	1108	5
36056847	2015-08	1283	8
36034665	2015-08	1149	9
36037370	2015-08	1184	2
36033995	2015-08	1275	6
36000310	2015-08	1489	8
36016950	2015-08	1203	6
36098531	2015-08	1262	6
36067431	2015-08	1090	6
36073938	2015-08	1146	13
36054054	2015-08	1079	4
36082805	2015-09	1303	7
26075954	2015-09	1527	16
45114994	2015-09	1169	3
36034622	2015-09	1212	5
45106746	2015-09	1109	6
36051756	2015-09	1208	7
36022365	2015-09	1279	7
36083372	2015-09	1294	7
36051217	2015-09	1121	6
36044644	2015-09	1280	6
36054038	2015-09	1358	14
36074918	2015-09	1165	6
36099783	2015-09	1223	16
36034665	2015-09	1156	5
36037370	2015-09	1151	7
